🕘️更新时间,#genre#
CCTV-16,http://39.152.103.17:8089/tsfile/live/1073_1.m3u8$订阅源
CCTV-17,http://23.237.228.134/live3/CCTV17.m3u8$订阅源
CCTV-17,http://38.75.136.137:98/gslb/dsdqbv/cctv17hd.m3u8?auth=test20251009$订阅源
CCTV-17,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub$订阅源
CCTV-17,http://38.75.136.137:98/gslb/dsdqca/cctv17hd.m3u8?auth=test20251009$订阅源
CCTV-17,http://39.152.103.17:8089/tsfile/live/1016_1.m3u8$订阅源

📡衛視頻道,#genre#
湖南衛視,http://139.196.214.238/rtp/239.45.3.228:5140$上海电信组播源-cache:139.196.214.238-组播源
湖南衛視,http://139.196.214.238/rtp/239.45.3.228:5140$上海电信组播源-cache:139.196.214.238-组播源
湖南衛視,http://113.25.252.226/rtp/239.1.1.28:8028$山西电信组播源-cache:113.25.252.226-组播源
